dataset,method,variant,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,seeds,n_seeds,effective_mask_rate_mean,embedding_variance_mean,prototype_confidence_mean,neighbor_reliability_mean,neighbor_reliable_edge_fraction_mean,neighbor_reliable_count_mean,neighbor_score_mean,neighbor_pseudo_confidence_mean,neighbor_pseudo_same_cluster_edge_fraction_mean,neighbor_pseudo_same_cluster_reliable_fraction_mean
Melanoma_5K,scMAE_plus_adaptive_mask,001_adaptive_mask,0.7375729374399881,0.0015563414953619547,3,0.7360150892479843,0.0011393113014033108,0.6680525750937366,0.001086864975013227,3,0.6552268283562951,0.0014902228197510687,"42,2024,3407",3,0.041793378016777995,0.42310043176015205,,,,,,,,
Melanoma_5K,scMAE_plus_adaptive_neighbormix_prototype,006_adaptive_mask_neighbormix_prototype,0.7244257330674349,0.02546009461821026,3,0.7273281280105387,0.0122794104949906,0.6548412658175154,0.01650664236233565,3,0.6096023815516368,0.07731537934425671,"42,2024,3407",3,0.041819122007914676,0.4129132231076554,0.11645186940828901,0.8444644808769223,0.3994977472486887,5.992466290791829,0.8444644808769223,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix,0.7713272767560381,0.06067183232551651,3,0.7459151714751626,0.01981932894854329,0.6976231779708401,0.057296541689129066,3,0.6655785996360059,0.015353500312477153,"42,2024,3407",3,0.04051808033670667,0.4203171531359347,,0.4058399200439447,0.4058399192456354,,,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_frozen_graph,0.7371297732476548,0.0013538889711074255,3,0.7359009272005202,0.0038818592343026976,0.664380162967357,0.0059164953955327185,3,0.6548362822483719,0.0007629308833560632,"42,2024,3407",3,0.04053660730520833,0.4240117073059077,,0.8464750448862707,0.4493389467464357,6.740084171295166,0.8464750448862707,0.0,0.0,0.0
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_a095_w01,0.7276017431124898,0.018358358601824203,3,0.7271293755452907,0.016998055281929825,0.6560264350917521,0.01796921740227102,3,0.6334402333978522,0.03707821061526491,"42,2024,3407",3,0.04051808033670667,0.43034269412358533,,1.0,0.41123667429893834,,,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_adaptive_mask,0.7257552256444346,0.019073229442450036,3,0.7256118331809435,0.018085480097480847,0.6534461846568734,0.023074264355205338,3,0.6290903872359327,0.04656998209253746,"42,2024,3407",3,0.04176309523837834,0.4187731842199957,,0.8438353141148881,0.4004924046581477,6.007386048634847,0.8438353141148881,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_multiavg,0.7374252160425437,0.0013478312719473026,3,0.7347933775066432,0.0040774695726259165,0.6623294962975789,0.004328751732764706,3,0.6582159528289617,0.0036157655161732872,"42,2024,3407",3,0.04051808033670667,0.3944477339585617,,0.41874091823895737,0.41874092128911505,,,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_score078,0.7399364797990989,0.004785010513847623,3,0.7359022541188512,0.0032422080367960284,0.6663933783736679,0.003846070281641138,3,0.6573917427897605,0.0012852964351369558,"42,2024,3407",3,0.04051808033670667,0.4125933150450383,,0.8631342649459838,0.33619420439717335,5.04291311899821,0.8445963859558101,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_score082,0.701233473668661,0.13366696986219065,3,0.7250208284999271,0.033621902622067545,0.631748493112615,0.11219455446832738,3,0.6382469133020139,0.05307446809287235,"42,2024,3407",3,0.04051808033670667,0.40220786134401937,,0.8853245973587035,0.24538493734150668,3.6807740529378257,0.8451742529869076,,,
Melanoma_5K,scMAE_plus_neighbormix,004_neighbormix_nm_swav,0.7261245291380457,0.01577440437009325,3,0.725627845909779,0.012968945747420076,0.6544094621454178,0.013235459940567504,3,0.6338677636667985,0.03734729896314026,"42,2024,3407",3,0.04056484348007567,0.4616356194019313,0.111121825873851,0.8448529243469234,0.39161927271831937,5.874289035797119,0.8448529243469234,,,
Melanoma_5K,scMAE_plus_neighbormix_prototype,005_neighbormix_prototype,0.7256075042469902,0.026084018432115972,3,0.7294268796794453,0.013273391700775319,0.6551349321991631,0.017875873755806893,3,0.6100789225146,0.08087832796686258,"42,2024,3407",3,0.04056726197401634,0.41682136058807334,0.11641941964626268,1.0,0.40308245316000635,,,,,
Melanoma_5K,scMAE_plus_prototype_dec,002_prototype_dec,0.7367604697540439,0.0010154167283305579,3,0.7353337148184083,0.0016550044332060883,0.6642454173549469,0.0030414283482563336,3,0.6546335815829667,0.0021582121859884283,"42,2024,3407",3,0.040619791618415,0.4215799073378241,0.11607209096352233,,,,,,,
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,008_pseudo_agree_neighbormix,0.7264199719329345,0.0179595444284481,3,0.7265199650235217,0.015502099233009763,0.6550114444476748,0.018838634151361014,3,0.6277164382486968,0.04991924488601481,"42,2024,3407",3,0.04051808033670667,0.4195154507954914,,0.8450978994369501,0.39569638328778534,5.935445785522461,0.8441299200057978,0.4246009886264797,0.9736338663547928,1.0
Melanoma_5K,scMAE_plus_pseudo_agree_neighbormix,008_pseudo_agree_neighbormix_confq25,0.7365388876578772,0.0009658539648882434,3,0.7342468916329211,0.0029160518572942428,0.6627507187417302,0.0029243560187764243,3,0.6548048122477108,0.0019004856861683196,"42,2024,3407",3,0.04051808033670667,0.39870209495226505,,0.8353433211644488,0.29239973410148434,4.385996023813884,0.8445254166920977,0.42797862490018135,0.9736036397903471,1.0
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,007_soft_reliable_neighbormix,0.7369820518502105,0.0010154167283305579,3,0.7345870346402371,0.0017837513686422355,0.663174481254627,0.004278719404681044,3,0.6569004710346579,0.00202551357433258,"42,2024,3407",3,0.04051808033670667,0.353021383285522,,0.8416906992594398,0.4161804170667447,6.242706298828125,0.8416906992594398,,,
Melanoma_5K,scMAE_plus_soft_reliable_neighbormix,007_soft_reliable_neighbormix_a088,0.7370559125489327,0.001220379026653237,3,0.7356027454288429,0.002121705119098463,0.6631652026726734,0.002332606165354499,3,0.6573746150494193,0.0009111056427092267,"42,2024,3407",3,0.04051808033670667,0.33706539869308405,,0.8444177508354184,0.4144865450427157,6.217298189798991,0.8444177508354184,,,
Melanoma_5K,scMAE_plus_swav_assignment,003_swav_assignment,0.7397148977029323,0.004681276867565093,3,0.737945471245462,0.004493905658784287,0.6684996235669015,0.005069402249087375,3,0.6579460847949423,0.005750146171617064,"42,2024,3407",3,0.04061108664387734,0.4897498488426204,0.11112096657355568,,,,,,,
